"","site","Date_UTC","Discharge_Daily_Ave"
"387","ecgs",2022-04-22,0.535187896258498
"388","ecgs",2022-04-23,0.524710672892591
"389","ecgs",2022-04-24,0.447830506842759
"390","ecgs",2022-04-25,0.436079026580999
"391","ecgs",2022-04-26,0.493562170993949
"392","ecgs",2022-04-27,0.825435300314032
"393","ecgs",2022-04-28,0.468784953574574
"394","ecgs",2022-04-29,0.415690916247342
"395","ecgs",2022-04-30,0.423336457622463
"396","ecgs",2022-05-01,0.466661192081484
"397","ecgs",2022-05-02,3.26634517637131
"398","ecgs",2022-05-03,0.522445327299963
"399","ecgs",2022-05-04,0.598900741051177
"400","ecgs",2022-05-05,0.403231515487885
"401","ecgs",2022-05-06,0.642791811908356
"402","ecgs",2022-05-07,0.702257133714855
"403","ecgs",2022-05-08,0.488889895709152
"404","ecgs",2022-05-09,0.454626543620645
"405","ecgs",2022-05-10,0.409178047668534
"406","ecgs",2022-05-11,0.448821595539534
"407","ecgs",2022-05-12,0.467227528479641
"408","ecgs",2022-05-13,0.545098783226248
"409","ecgs",2022-05-14,4.76147326750616
"410","ecgs",2022-05-15,1.40876179041589
"411","ecgs",2022-05-16,0.555009670193998
"412","ecgs",2022-05-17,0.594653218064998
"413","ecgs",2022-05-18,0.587574013088034
"414","ecgs",2022-05-19,0.528108691281534
"415","ecgs",2022-05-20,1.67069237456356
"416","ecgs",2022-05-21,0.475722574451999
"417","ecgs",2022-05-22,0.539435419244678
"418","ecgs",2022-05-23,3.2169323256321
"419","ecgs",2022-05-24,11.5405199534471
"420","ecgs",2022-05-25,1.01798967568746
"421","ecgs",2022-05-26,0.613059151005106
"422","ecgs",2022-05-27,32.6535408767454
"423","ecgs",2022-05-28,25.8560882578643
"424","ecgs",2022-05-29,1.80802895111667
"425","ecgs",2022-05-30,0.964187717862534
"426","ecgs",2022-05-31,0.705088815705641
"427","ecgs",2022-06-01,0.479970097438177
"428","ecgs",2022-06-02,0.594653218064998
"429","ecgs",2022-06-03,0.613059151005106
"430","ecgs",2022-06-04,0.547930465217034
"431","ecgs",2022-06-05,0.489880984405927
