date,discharge.daily,lnQ.daily,lnQ.bin1,lnQ.bin2,lnQ.bin1.weight,lnQ.bin2.weight
2022-04-01,NA,NA,NA,NA,NA,NA
2022-04-02,NA,NA,NA,NA,NA,NA
2022-04-03,NA,NA,NA,NA,NA,NA
2022-04-04,NA,NA,NA,NA,NA,NA
2022-04-05,NA,NA,NA,NA,NA,NA
2022-04-06,NA,NA,NA,NA,NA,NA
2022-04-07,NA,NA,NA,NA,NA,NA
2022-04-08,NA,NA,NA,NA,NA,NA
2022-04-09,NA,NA,NA,NA,NA,NA
2022-04-10,NA,NA,NA,NA,NA,NA
2022-04-11,NA,NA,NA,NA,NA,NA
2022-04-12,NA,NA,NA,NA,NA,NA
2022-04-13,NA,NA,NA,NA,NA,NA
2022-04-14,NA,NA,NA,NA,NA,NA
2022-04-15,NA,NA,NA,NA,NA,NA
2022-04-16,0.02003415008480887,-3.910316957315741,11,12,0.34086814717505937,0.6591318528249406
2022-04-17,0.019397021636882082,-3.942635748570908,11,12,0.5024621034508954,0.49753789654910463
2022-04-18,2.785484278973534,1.0244217465832637,36,37,0.6671746276800367,0.33282537231996334
2022-04-19,0.1458640688816083,-1.9250801260136203,21,22,0.4146839906644569,0.5853160093355432
2022-04-20,0.05908481453898801,-2.8287813327809452,17,18,0.9331900245010819,0.0668099754989181
2022-04-21,0.03911850683520837,-3.2411596033781107,15,16,0.9950813774869096,0.004918622513090387
2022-04-22,0.03379730442752357,-3.3873742303384002,14,15,0.7261545122883566,0.2738454877116434
2022-04-23,0.026812488850252156,-3.618887498135399,13,14,0.883720851273352,0.11627914872664802
2022-04-24,0.023396772448866898,-3.755157195667237,12,13,0.5650693389325417,0.43493066106745826
2022-04-25,0.023396772448866898,-3.755157195667237,12,13,0.5650693389325417,0.43493066106745826
2022-04-26,0.056285578904346725,-2.8773169239951324,16,17,0.1758679805720174,0.8241320194279826
2022-04-27,0.03150836148497179,-3.457502324407208,13,14,0.07679498263239558,0.9232050173676044
2022-04-28,0.01982177393549994,-3.920974251789729,11,12,0.3941546195449993,0.6058453804550007
2022-04-29,0.017874992566834766,-4.024352606243564,11,12,0.9110463918141757,0.08895360818582432
2022-04-30,0.017273260143792803,-4.058595629665777,10,11,0.08226150892523869,0.9177384910747614
2022-05-01,0.2837374851454682,-1.2597058163733972,24,25,0.0878124424633441,0.9121875575366559
2022-05-02,0.06020273899160028,-2.810037429503033,17,18,0.8394705081115209,0.1605294918884791
2022-05-03,0.027582352391497023,-3.590579116871477,13,14,0.7421789449537407,0.2578210550462593
2022-05-04,0.019892565985269582,-3.9174091856252327,11,12,0.3763292887225186,0.6236707112774814
2022-05-05,0.016777715795405303,-4.0877037138238475,10,11,0.2278019297155918,0.7721980702844082
2022-05-06,0.031726636971761514,-3.4505986679181686,13,14,0.04227670018719826,0.9577232998128018
2022-05-07,0.05006177786209897,-2.9944974789847083,16,17,0.7617707555198965,0.23822924448010352
2022-05-08,0.01982177393549994,-3.920974251789729,11,12,0.3941546195449993,0.6058453804550007
2022-05-09,0.01642375554655709,-4.109026483292668,10,11,0.33441577705969533,0.6655842229403046
